building,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Grum Zoo/Shopping Mall/Basketball Court/Farm,Cowman7,,100.000,,,,,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,Decoy,,,,,,,,,
Grum Zoo/Shopping Mall/Basketball Court/Farm,Tallerfiber1,,100.000,,,,,,,
Grand Isle of Knoo Capitol,Decoy,,,,,,,,,
Grand Isle of Knoo Capitol,OldManReidGaming,,5.000,,,,,,,
Grand Isle of Knoo Capitol,Axeman_76,,15.000,,,,,,,
Grand Isle of Knoo Capitol,Cowman7,,10.000,,,,,,,
Grand Isle of Knoo Capitol,Decoy,,,,,,,,,
Grand Isle of Knoo Capitol,Tallerfiber1,,15.000,,,,,,,
St. Paul's Cathedral,Decoy,,,,,,,,,
St. Paul's Cathedral,OldManReidGaming,,75.000,,,,,,,
St. Paul's Cathedral,Axeman_76,,45.000,,,,,,,
St. Paul's Cathedral,Cowman7,,50.000,,,,,,,
St. Paul's Cathedral,Decoy,,,,,,,,,
St. Paul's Cathedral,Tallerfiber1,,50.000,,,,,,,
Grumpartment of Manifest Destiny,Decoy,,,,,,,,,
Grumpartment of Manifest Destiny,OldManReidGaming,,6.000,,,,,,,
Grumpartment of Manifest Destiny,Axeman_76,,12.000,,,,,,,
Grumpartment of Manifest Destiny,Cowman7,,15.000,,,,,,,
Grumpartment of Manifest Destiny,Decoy,,,,,,,,,
Grumpartment of Manifest Destiny,Tallerfiber1,,12.000,,,,,,,
Knew Knoo Hotel,Decoy,,,,,,,,,
Knew Knoo Hotel,OldManReidGaming,,80.000,,,,,,,
Knew Knoo Hotel,Axeman_76,,60.000,,,,,,,
Knew Knoo Hotel,Cowman7,,64.000,,,,,,,
Knew Knoo Hotel,Decoy,,,,,,,,,
Knew Knoo Hotel,Tallerfiber1,,60.000,,,,,,,
Grum Manor,Decoy,,,,,,,,,
Grum Manor,OldManReidGaming,,90.000,,,,,,,
Grum Manor,Axeman_76,,70.000,,,,,,,
Grum Manor,Cowman7,,90.000,,,,,,,
Grum Manor,Decoy,,,,,,,,,
Grum Manor,Tallerfiber1,,70.000,,,,,,,
NOI-IOK Embassy,Decoy,,,,,,,,,
NOI-IOK Embassy,OldManReidGaming,,30,,,,,,,
NOI-IOK Embassy,Axeman_76,,20,,,,,,,
NOI-IOK Embassy,Cowman7,,24,,,,,,,
NOI-IOK Embassy,Decoy,,,,,,,,,
NOI-IOK Embassy,Decoy,,,,,,,,,
Mining Dome,Decoy,,,,,,,,,
Mining Dome,OldManReidGaming,,,,,10,,,,
Mining Dome,Axeman_76,,,4,,,,,,
Mining Dome,Cowman7,,,2,,,,,,
Mining Dome,Decoy,,,,,,,,,
Mining Dome,Decoy,,,,,,,,,
Komsomolsk na Amure Station,Decoy,,,,,,,,,
Komsomolsk na Amure Station,OldManReidGaming,,,,,14,,,,
Komsomolsk na Amure Station,Axeman_76,,,1,,,,,,
Komsomolsk na Amure Station,Cowman7,,,,,,,5,,
Komsomolsk na Amure Station,Decoy,,,,,,,,,
Komsomolsk na Amure Station,Decoy,,,,,,,,,
Crafting Table House,Decoy,,,,,,,,,
Crafting Table House,OldManReidGaming,2,2,2,2,2,2,2,2,2
Crafting Table House,Axeman_76,1,2,,,,,,,
Crafting Table House,Cowman7,3,,,,,,,,
Crafting Table House,Decoy,,,,,,,,,
Crafting Table House,Decoy,,,,,,,,,
Cactus Farm,Decoy,,,,,,,,,
Cactus Farm,OldManReidGaming,,,,1,,,,,
Cactus Farm,Axeman_76,,3,,,,,,,
Cactus Farm,Cowman7,,2,,,,,,,
Cactus Farm,Decoy,,,,,,,,,
Cactus Farm,Decoy,,,,,,,,,
Bamboo Farm,Decoy,,,,,,,,,
Bamboo Farm,OldManReidGaming,,,,1,,,,,
Bamboo Farm,Axeman_76,,3,,,,,,,
Bamboo Farm,Cowman7,,3,,,,,,,
Bamboo Farm,Decoy,,,,,,,,,
Bamboo Farm,Decoy,,,,,,,,,
Floating Tree House,Decoy,,,,,,,,,
Floating Tree House,OldManReidGaming,,,1,,,,,,
Floating Tree House,Axeman_76,,,10,,,,,,
Floating Tree House,Cowman7,,,8,,,,,,
Floating Tree House,Decoy,,,,,,,,,
Floating Tree House,Decoy,,,,,,,,,
Blackstone Bridge,Decoy,,,,,,,,,
Blackstone Bridge,OldManReidGaming,,40,,,,,,,
Blackstone Bridge,Axeman_76,,60,,,,,,,
Blackstone Bridge,Cowman7,,75,,,,,,,
Blackstone Bridge,Decoy,,,,,,,,,
Blackstone Bridge,Tallerfiber1,,120,,,,,,,
Nether Storage,Decoy,,,,,,,,,
Nether Storage,OldManReidGaming,,8,,,,,,,
Nether Storage,Axeman_76,,5,,,,,,,
Nether Storage,Cowman7,,4,,,,,,,
Nether Storage,Decoy,,,,,,,,,
Nether Storage,Tallerfiber1,,3,,,,,,,
Utility Shed,Decoy,,,,,,,,,
Utility Shed,OldManReidGaming,,10,,,,,,,
Utility Shed,Axeman_76,,7,,,,,,,
Utility Shed,Cowman7,,8,,,,,,,
Utility Shed,Decoy,,,,,,,,,
Utility Shed,Tallerfiber1,,6.5,,,,,,,
pai n.,Decoy,,,,,,,,,
pai n.,OldManReidGaming,,,20,,,,,,
pai n.,Axeman_76,,,8,,,,,,
pai n.,Cowman7,,,12,,,,,,
pai n.,Decoy,,,,,,,,,
pai n.,Tallerfiber1,,,12,,,,,,
Mining House,Decoy,,,,,,,,,
Mining House,OldManReidGaming,,40,,,,,,,
Mining House,Axeman_76,,30,,,,,,,
Mining House,Cowman7,,32,,,,,,,
Mining House,Decoy,,,,,,,,,
Mining House,Tallerfiber1,,29,,,,,,,
UN Nelsonia RR Stop,Decoy,,,,,,,,,
UN Nelsonia RR Stop,OldManReidGaming,,1,,,,,,,
UN Nelsonia RR Stop,Axeman_76,,3,,,,,,,
UN Nelsonia RR Stop,Cowman7,,,8,,,,,,
UN Nelsonia RR Stop,Decoy,,,,,,,,,
UN Nelsonia RR Stop,Decoy,,,,,,,,,
Nelson's Nether Portal,Decoy,,,,,,,,,
Nelson's Nether Portal,OldManReidGaming,,3,,,,,,,
Nelson's Nether Portal,Axeman_76,,2,,,,,,,
Nelson's Nether Portal,Cowman7,,1.5,,,,,,,
Nelson's Nether Portal,Decoy,,,,,,,,,
Nelson's Nether Portal,Tallerfiber1,,2.5,,,,,,,
Original Sorting System,Decoy,,,,,,,,,
Original Sorting System,OldManReidGaming,,150,,,,,,,
Original Sorting System,Axeman_76,,120,,,,,,,
Original Sorting System,Cowman7,,112,,,,,,,
Original Sorting System,Decoy,,,,,,,,,
Original Sorting System,Tallerfiber1,,70,,,,,,,
Nelson's House,Decoy,,,,,,,,,
Nelson's House,OldManReidGaming,,52,,,,,,,
Nelson's House,Axeman_76,,70,,,,,,,
Nelson's House,Cowman7,,52,,,,,,,
Nelson's House,vlueban,,60,,,,,,,
Nelson's House,Tallerfiber1,,40,,,,,,,
Tree Farm,Decoy,,,,,,,,,
Tree Farm,OldManReidGaming,,200,,,,,,,
Tree Farm,Axeman_76,,120,,,,,,,
Tree Farm,Cowman7,,135,,,,,,,
Tree Farm,vlueban,,210,,,,,,,
Tree Farm,Tallerfiber1,,169.37,,,,,,,
Nelson's Bees,Decoy,,,,,,,,,
Nelson's Bees,OldManReidGaming,,,5,,,,,,
Nelson's Bees,Axeman_76,,,12,,,,,,
Nelson's Bees,Cowman7,,,8,,,,,,
Nelson's Bees,Decoy,,,,,,,,,
Nelson's Bees,Tallerfiber1,,,11,,,,,,
OMR Storage Center,Decoy,,,,,,,,,
OMR Storage Center,OldManReidGaming,,1,,,,,,,
OMR Storage Center,Axeman_76,,1,,,,,,,
OMR Storage Center,Cowman7,,,10,,,,,,
OMR Storage Center,Decoy,,,,,,,,,
OMR Storage Center,Decoy,,,,,,,,,
Reid's House I guess,Decoy,,,,,,,,,
Reid's House I guess,OldManReidGaming,,1,,,,,,,
Reid's House I guess,Axeman_76,,1,,,,,,,
Reid's House I guess,Cowman7,,,2,,,,,,
Reid's House I guess,Decoy,,,,,,,,,
Reid's House I guess,Decoy,,,,,,,,,
New Reid City Station Hub,Decoy,,,,,,,,,
New Reid City Station Hub,OldManReidGaming,,1,,,,,,,
New Reid City Station Hub,Axeman_76,,4,,,,,,,
New Reid City Station Hub,Cowman7,,1,,,,,,,
New Reid City Station Hub,Decoy,,,,,,,,,
New Reid City Station Hub,Decoy,,,,,,,,,
EOMR New Capitol,Decoy,,,,,,,,,
EOMR New Capitol,OldManReidGaming,,250,,,,,,,
EOMR New Capitol,Axeman_76,,175,,,,,,,
EOMR New Capitol,Cowman7,,157,,,,,,,
EOMR New Capitol,Decoy,,,,,,,,,
EOMR New Capitol,Decoy,,,,,,,,,
OMR Realty Offices,Decoy,,,,,,,,,
OMR Realty Offices,OldManReidGaming,,,500,,,,,,
OMR Realty Offices,Axeman_76,,6,,,,,,,
OMR Realty Offices,Cowman7,,2,,,,,,,
OMR Realty Offices,Decoy,,,,,,,,,
OMR Realty Offices,Decoy,,,,,,,,,
EOMR Original Capitol,Decoy,,,,,,,,,
EOMR Original Capitol,OldManReidGaming,,75,,,,,,,
EOMR Original Capitol,Axeman_76,,50,,,,,,,
EOMR Original Capitol,Cowman7,,60,,,,,,,
EOMR Original Capitol,vlueban,,60,,,,,,,
EOMR Original Capitol,Decoy,,61.25,,,,,,,
Boner Suites,Decoy,,,,,,,,,
Boner Suites,OldManReidGaming,,30,,,,,,,
Boner Suites,Axeman_76,,1.5,,,,,,,
Boner Suites,Cowman7,,,20,,,,,,
Boner Suites,Decoy,,,,,,,,,
Boner Suites,Decoy,,,,,,,,,
OMR Cathedral,Decoy,,,,,,,,,
OMR Cathedral,OldManReidGaming,,4.5,,,,,,,
OMR Cathedral,Axeman_76,,2,,,,,,,
OMR Cathedral,Cowman7,,,22.894,,,,,,
OMR Cathedral,Decoy,,,,,,,,,
OMR Cathedral,Decoy,,,,,,,,,
NoI-EOMR Embassy,Decoy,,,,,,,,,
NoI-EOMR Embassy,OldManReidGaming,,45,,,,,,,
NoI-EOMR Embassy,Axeman_76,,47.5,,,,,,,
NoI-EOMR Embassy,Cowman7,,50,,,,,,,
NoI-EOMR Embassy,Decoy,,,,,,,,,
NoI-EOMR Embassy,Decoy,,,,,,,,,
EOMR-NOI Embassy,Decoy,,,,,,,,,
EOMR-NOI Embassy,OldManReidGaming,,2,,,,,,,
EOMR-NOI Embassy,Axeman_76,,1.9,,,,,,,
EOMR-NOI Embassy,Cowman7,,,29,,,,,,
EOMR-NOI Embassy,Decoy,,,,,,,,,
EOMR-NOI Embassy,Decoy,,,,,,,,,
QC-NOI Embassy,Decoy,,,,,,,,,
QC-NOI Embassy,OldManReidGaming,,2,,,,,,,
QC-NOI Embassy,Axeman_76,,3,,,,,,,
QC-NOI Embassy,Cowman7,,2,,,,,,,
QC-NOI Embassy,Decoy,,,,,,,,,
QC-NOI Embassy,Decoy,,,,,,,,,
Nelsonia Embussy,Decoy,,,,,,,,,
Nelsonia Embussy,OldManReidGaming,,25,,,,,,,
Nelsonia Embussy,Axeman_76,,15,,,,,,,
Nelsonia Embussy,Cowman7,,12,,,,,,,
Nelsonia Embussy,Decoy,,,,,,,,,
Nelsonia Embussy,Tallerfiber1,,40,,,,,,,
Bass Pro Shop,Decoy,,,,,,,,,
Bass Pro Shop,OldManReidGaming,,50,,,,,,,
Bass Pro Shop,Axeman_76,,60,,,,,,,
Bass Pro Shop,Cowman7,,55,,,,,,,
Bass Pro Shop,Decoy,,,,,,,,,
Bass Pro Shop,Decoy,,,,,,,,,
Diplomacy Dome,Decoy,,,,,,,,,
Diplomacy Dome,OldManReidGaming,,128,,,,,,,
Diplomacy Dome,Axeman_76,,120,,,,,,,
Diplomacy Dome,Cowman7,,100,,,,,,,
Diplomacy Dome,Decoy,,,,,,,,,
Diplomacy Dome,Decoy,,,,,,,,,
Villager Breeder,Decoy,,,,,,,,,
Villager Breeder,OldManReidGaming,,16,,,,,,,
Villager Breeder,Axeman_76,,10,,,,,,,
Villager Breeder,Cowman7,,10,,,,,,,
Villager Breeder,Decoy,,,,,,,,,
Villager Breeder,Decoy,,,,,,,,,
Isaac Villager Compound,Decoy,,,,,,,,,
Isaac Villager Compound,OldManReidGaming,,200,,,,,,,
Isaac Villager Compound,Axeman_76,,100,,,,,,,
Isaac Villager Compound,Cowman7,,120,,,,,,,
Isaac Villager Compound,Decoy,,,,,,,,,
Isaac Villager Compound,Decoy,,,,,,,,,
Ice Boat Station,Decoy,,,,,,,,,
Ice Boat Station,OldManReidGaming,,3,,,,,,,
Ice Boat Station,Axeman_76,,2,,,,,,,
Ice Boat Station,Cowman7,,1,,,,,,,
Ice Boat Station,Decoy,,,,,,,,,
Ice Boat Station,Decoy,,,,,,,,,
Slime Farm,Decoy,,,,,,,,,
Slime Farm,OldManReidGaming,,3,,,,,,,
Slime Farm,Axeman_76,,4,,,,,,,
Slime Farm,Cowman7,,5,,,,,,,
Slime Farm,Decoy,,,,,,,,,
Slime Farm,Decoy,,,,,,,,,
Former Shop,Decoy,,,,,,,,,
Former Shop,OldManReidGaming,,1,,,,,,,
Former Shop,Axeman_76,,1,,,,,,,
Former Shop,Cowman7,,1,,,,,,,
Former Shop,Decoy,,,,,,,,,
Former Shop,Decoy,,,,,,,,,
NOI Station,Decoy,,,,,,,,,
NOI Station,OldManReidGaming,,2,,,,,,,
NOI Station,Axeman_76,,4,,,,,,,
NOI Station,Cowman7,,5,,,,,,,
NOI Station,Decoy,,,,,,,,,
NOI Station,Decoy,,,,,,,,,
NoI Capitol,Decoy,,,,,,,,,
NoI Capitol,OldManReidGaming,,75,,,,,,,
NoI Capitol,Axeman_76,,55,,,,,,,
NoI Capitol,Cowman7,,60,,,,,,,
NoI Capitol,Decoy,,,,,,,,,
NoI Capitol,Decoy,,,,,,,,,
Sorting System,Decoy,,,,,,,,,
Sorting System,OldManReidGaming,,30,,,,,,,
Sorting System,Axeman_76,,25,,,,,,,
Sorting System,Cowman7,,30,,,,,,,
Sorting System,Decoy,,,,,,,,,
Sorting System,Decoy,,,,,,,,,
NOI Iron Farm,Decoy,,,,,,,,,
NOI Iron Farm,OldManReidGaming,,200,,,,,,,
NOI Iron Farm,Axeman_76,,30,,,,,,,
NOI Iron Farm,Cowman7,,100,,,,,,,
NOI Iron Farm,Decoy,,,,,,,,,
NOI Iron Farm,Decoy,,,,,,,,,
Isaac Barn,Decoy,,,,,,,,,
Isaac Barn,OldManReidGaming,,35,,,,,,,
Isaac Barn,Axeman_76,,40,,,,,,,
Isaac Barn,Cowman7,,40,,,,,,,
Isaac Barn,Decoy,,,,,,,,,
Isaac Barn,Decoy,,,,,,,,,
Isaac Original House,Decoy,,,,,,,,,
Isaac Original House,OldManReidGaming,,175,,,,,,,
Isaac Original House,Axeman_76,,200,,,,,,,
Isaac Original House,Cowman7,,200,,,,,,,
Isaac Original House,Decoy,,,,,,,,,
Isaac Original House,Decoy,,,,,,,,,
Colosseum,Decoy,,,,,,,,,
Colosseum,OldManReidGaming,,150,,,,,,,
Colosseum,Axeman_76,,125,,,,,,,
Colosseum,Cowman7,,80,,,,,,,
Colosseum,Decoy,,,,,,,,,
Colosseum,Decoy,,,,,,,,,
Small Castle,Decoy,,,,,,,,,
Small Castle,OldManReidGaming,,55,,,,,,,
Small Castle,Axeman_76,,40,,,,,,,
Small Castle,Cowman7,,40,,,,,,,
Small Castle,Decoy,,,,,,,,,
Small Castle,Decoy,,,,,,,,,
Elytra Tower,Decoy,,,,,,,,,
Elytra Tower,OldManReidGaming,,,12,,,,,,
Elytra Tower,Axeman_76,,2,,,,,,,
Elytra Tower,Cowman7,,2,,,,,,,
Elytra Tower,Decoy,,,,,,,,,
Elytra Tower,Decoy,,,,,,,,,
Big Boy Castle,Decoy,,,,,,,,,
Big Boy Castle,OldManReidGaming,,269,,,,,,,
Big Boy Castle,Axeman_76,,400,,,,,,,
Big Boy Castle,Cowman7,,242,,,,,,,
Big Boy Castle,Decoy,,,,,,,,,
Big Boy Castle,Decoy,,,,,,,,,
Isaac Outpost,Decoy,,,,,,,,,
Isaac Outpost,OldManReidGaming,,50,,,,,,,
Isaac Outpost,Axeman_76,,25,,,,,,,
Isaac Outpost,Cowman7,,30,,,,,,,
Isaac Outpost,Decoy,,,,,,,,,
Isaac Outpost,Decoy,,,,,,,,,
Ali's Up Nort Der Ay,Decoy,,,,,,,,,
Ali's Up Nort Der Ay,OldManReidGaming,,3,,,,,,,
Ali's Up Nort Der Ay,Axeman_76,,1.25,,,,,,,
Ali's Up Nort Der Ay,Cowman7,,1,,,,,,,
Ali's Up Nort Der Ay,Decoy,,,,,,,,,
Ali's Up Nort Der Ay,Decoy,,,,,,,,,
AJ's House,Decoy,,,,,,,,,
AJ's House,OldManReidGaming,,,,,,,,5000,
AJ's House,Axeman_76,,3.25,,,,,,,
AJ's House,Cowman7,,4,,,,,,,
AJ's House,Decoy,,,,,,,,,
AJ's House,Tallerfiber1,,4,,,,,,,
Far North Hotel,Decoy,,,,,,,,,
Far North Hotel,OldManReidGaming,,10,,,,,,,
Far North Hotel,Axeman_76,,7,,,,,,,
Far North Hotel,Cowman7,,7,,,,,,,
Far North Hotel,Decoy,,,,,,,,,
Far North Hotel,Decoy,,,,,,,,,
Far North Farm,Decoy,,,,,,,,,
Far North Farm,OldManReidGaming,,,,,,1,,,
Far North Farm,Axeman_76,,,,,1,,,,
Far North Farm,Cowman7,,,,,1,,,,
Far North Farm,Decoy,,,,,,,,,
Far North Farm,Decoy,,,,,,,,,
Pene Tower - North,Decoy,,,,,,,,,
Pene Tower - North,OldManReidGaming,,3,,,,,,,
Pene Tower - North,Axeman_76,,1,,,,,,,
Pene Tower - North,Cowman7,,,3,,,,,,
Pene Tower - North,Decoy,,,,,,,,,
Pene Tower - North,Decoy,,,,,,,,,
OMR Far East Storage Center,Decoy,,,,,,,,,
OMR Far East Storage Center,OldManReidGaming,,2,,,,,,,
OMR Far East Storage Center,Axeman_76,,1,,,,,,,
OMR Far East Storage Center,Cowman7,,,8,,,,,,
OMR Far East Storage Center,Decoy,,,,,,,,,
OMR Far East Storage Center,Decoy,,,,,,,,,
OMR Sawmill & Lumber Co. HQ,Decoy,,,,,,,,,
OMR Sawmill & Lumber Co. HQ,OldManReidGaming,,2,,,,,,,
OMR Sawmill & Lumber Co. HQ,Axeman_76,,0.9,,,,,,,
OMR Sawmill & Lumber Co. HQ,Cowman7,,0.8,,,,,,,
OMR Sawmill & Lumber Co. HQ,Decoy,,,,,,,,,
OMR Sawmill & Lumber Co. HQ,Decoy,,,,,,,,,
Pene Tower - East,Decoy,,,,,,,,,
Pene Tower - East,OldManReidGaming,,,,8,,,,,
Pene Tower - East,Axeman_76,,,2,,,,,,
Pene Tower - East,Cowman7,,,1,,,,,,
Pene Tower - East,Decoy,,,,,,,,,
Pene Tower - East,Decoy,,,,,,,,,
Bee Igloo Glue Factory,Decoy,,,,,,,,,
Bee Igloo Glue Factory,OldManReidGaming,,2,,,,,,,
Bee Igloo Glue Factory,Axeman_76,,,16,,,,,,
Bee Igloo Glue Factory,Cowman7,,1,,,,,,,
Bee Igloo Glue Factory,Decoy,,,,,,,,,
Bee Igloo Glue Factory,Tallerfiber1,,1.5,,,,,,,
Hockey Rink,Decoy,,,,,,,,,
Hockey Rink,OldManReidGaming,,3,3,3,,,,,
Hockey Rink,Axeman_76,,1.54,,,,,,,
Hockey Rink,Cowman7,,,,,,473,,,
Hockey Rink,Decoy,,,,,,,,,
Hockey Rink,Tallerfiber1,,5,,,,,,,
Play Castle,Decoy,,,,,,,,,
Play Castle,OldManReidGaming,,2,17,1,1,,5,,
Play Castle,Axeman_76,,2.6,9,,18,,,,
Play Castle,Cowman7,,2.5,,,,,,,
Play Castle,Decoy,,,,,,,,,
Play Castle,Tallerfiber1,,3,,,,,,,
NOI Copper Bridge,Decoy,,,,,,,,,
NOI Copper Bridge,OldManReidGaming,,90,,,,,,,
NOI Copper Bridge,Axeman_76,,150,,,,,,,
NOI Copper Bridge,Cowman7,,120,,,,,,,
NOI Copper Bridge,Decoy,,,,,,,,,
NOI Copper Bridge,Tallerfiber1,,125,,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Decoy,,,,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),OldManReidGaming,,1.5,,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Axeman_76,,,5,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Cowman7,,,4,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Decoy,,,,,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Decoy,,,,,,,,,
Quinn's Shed,Decoy,,,,,,,,,
Quinn's Shed,OldManReidGaming,,,21,,,,,,
Quinn's Shed,Axeman_76,,1,,,,,,,
Quinn's Shed,Cowman7,,1,,,,,,,
Quinn's Shed,Decoy,,,,,,,,,
Quinn's Shed,Decoy,,,,,,,,,
Quinn's Capitol/Welcome Center,Decoy,,,,,,,,,
Quinn's Capitol/Welcome Center,OldManReidGaming,,10,,,,,,,
Quinn's Capitol/Welcome Center,Axeman_76,,1,,,,,,,
Quinn's Capitol/Welcome Center,Cowman7,,2,,,,,,,
Quinn's Capitol/Welcome Center,Decoy,,,,,,,,,
Quinn's Capitol/Welcome Center,Decoy,,,,,,,,,
Quinn's House,Decoy,,,,,,,,,
Quinn's House,OldManReidGaming,,375,,,,,,,
Quinn's House,Axeman_76,,205,,,,,,,
Quinn's House,Cowman7,,191,,,,,,,
Quinn's House,vlueban,,230,,,,,,,
Quinn's House,Tallerfiber1,,300,,,,,,,
Quinn Funny House,Decoy,,,,,,,,,
Quinn Funny House,OldManReidGaming,,64,,,,,,,
Quinn Funny House,Axeman_76,,20,,,,,,,
Quinn Funny House,Cowman7,,20,,,,,,,
Quinn Funny House,Decoy,,,,,,,,,
Quinn Funny House,Tallerfiber1,,15,,,,,,,
Laborer's International Union of EOMR,Decoy,,,,,,,,,
Laborer's International Union of EOMR,OldManReidGaming,,5,,,,,,,
Laborer's International Union of EOMR,Axeman_76,,,,,,,1,,
Laborer's International Union of EOMR,Cowman7,,,,,,,1,,
Laborer's International Union of EOMR,Decoy,,,,,,,,,
Laborer's International Union of EOMR,Decoy,,,,,,,,,
Ali's Old House,Decoy,,,,,,,,,
Ali's Old House,OldManReidGaming,,3,,,,,,,
Ali's Old House,Axeman_76,,3,,,,,,,
Ali's Old House,Cowman7,,3,,,,,,,
Ali's Old House,Decoy,,,,,,,,,
Ali's Old House,Decoy,,,,,,,,,
Vacation Hut,Decoy,,,,,,,,,
Vacation Hut,OldManReidGaming,,2,,,,,,,
Vacation Hut,Axeman_76,,1,,,,,,,
Vacation Hut,Cowman7,,1,,,,,,,
Vacation Hut,Decoy,,,,,,,,,
Vacation Hut,Decoy,,,,,,,,,
Ghoul's House,Decoy,,,,,,,,,
Ghoul's House,OldManReidGaming,,50,,,,,,,
Ghoul's House,Axeman_76,,35,,,,,,,
Ghoul's House,Cowman7,,34,,,,,,,
Ghoul's House,Decoy,,,,,,,,,
Ghoul's House,Decoy,,,,,,,,,
Baseball Field Station Hub,Decoy,,,,,,,,,
Baseball Field Station Hub,OldManReidGaming,,,,1,,,,1,
Baseball Field Station Hub,Axeman_76,,,2,,,,,,1
Baseball Field Station Hub,Cowman7,,,3,,,,1,,
Baseball Field Station Hub,Decoy,,,,,,,,,
Baseball Field Station Hub,Decoy,,,,,,,,,
Kchanistan,Decoy,,,,,,,,,
Kchanistan,OldManReidGaming,,0.5,,,,,,,
Kchanistan,Axeman_76,,,3,,,,,,
Kchanistan,Cowman7,,,2,,,,,,
Kchanistan,Decoy,,,,,,,,,
Kchanistan,Decoy,,,,,,,,,
Ali's New House,Decoy,,,,,,,,,
Ali's New House,OldManReidGaming,,4,,,,,,,
Ali's New House,Axeman_76,,5,,,,,,,
Ali's New House,Cowman7,,10,,,,,,,
Ali's New House,Decoy,,,,,,,,,
Ali's New House,Decoy,,,,,,,,,
OMR Villager Compound,Decoy,,,,,,,,,
OMR Villager Compound,OldManReidGaming,,60,,,,,,,
OMR Villager Compound,Axeman_76,,25,,,,,,,
OMR Villager Compound,Cowman7,,9,,,,,,,
OMR Villager Compound,Decoy,,,,,,,,,
OMR Villager Compound,Decoy,,,,,,,,,
Thumbtack,Decoy,,,,,,,,,
Thumbtack,OldManReidGaming,,9,,,,,,,
Thumbtack,Axeman_76,,5,,,,,,,
Thumbtack,Cowman7,,3,,,,,,,
Thumbtack,Decoy,,,,,,,,,
Thumbtack,Decoy,,,,,,,,,
Blackstone Baseball Building (BBB),Decoy,,,,,,,,,
Blackstone Baseball Building (BBB),OldManReidGaming,,15,,,,,,,
Blackstone Baseball Building (BBB),Axeman_76,,10,,,,,,,
Blackstone Baseball Building (BBB),Cowman7,,10,,,,,,,
Blackstone Baseball Building (BBB),Decoy,,,,,,,,,
Blackstone Baseball Building (BBB),Decoy,,,,,,,,,
Jesus' Compound,Decoy,,,,,,,,,
Jesus' Compound,OldManReidGaming,,40,,,,,,,
Jesus' Compound,Axeman_76,,25,,,,,,,
Jesus' Compound,Cowman7,,13,,,,,,,
Jesus' Compound,Decoy,,,,,,,,,
Jesus' Compound,Decoy,,,,,,,,,
2nd Bank of OMR Field,Decoy,,,,,,,,,
2nd Bank of OMR Field,OldManReidGaming,,222,,,,,,,
2nd Bank of OMR Field,Axeman_76,,200,,,,,,,
2nd Bank of OMR Field,Cowman7,,200,,,,,,,
2nd Bank of OMR Field,Decoy,,,,,,,,,
2nd Bank of OMR Field,Decoy,,,,,,,,,
Chess Arena,Decoy,,,,,,,,,
Chess Arena,OldManReidGaming,,2,,,,,,,
Chess Arena,Axeman_76,,2,,,,,,,
Chess Arena,Cowman7,,2,,,,,,,
Chess Arena,Decoy,,,,,,,,,
Chess Arena,Decoy,,,,,,,,,
Farmhouse - Bad,Decoy,,,,,,,,,
Farmhouse - Bad,OldManReidGaming,,,2,,,,,,
Farmhouse - Bad,Axeman_76,,,2,,,,,,
Farmhouse - Bad,Cowman7,,,2,,,,,,
Farmhouse - Bad,Decoy,,,,,,,,,
Farmhouse - Bad,Decoy,,,,,,,,,
Farmhouse - Good,Decoy,,,,,,,,,
Farmhouse - Good,OldManReidGaming,,2,,,,,,,
Farmhouse - Good,Axeman_76,,2,,,,,,,
Farmhouse - Good,Cowman7,,2,,,,,,,
Farmhouse - Good,Decoy,,,,,,,,,
Farmhouse - Good,Decoy,,,,,,,,,
Bees - Reid Vegas,Decoy,,,,,,,,,
Bees - Reid Vegas,OldManReidGaming,,1,,,,,,,
Bees - Reid Vegas,Axeman_76,,0.25,,,,,,,
Bees - Reid Vegas,Cowman7,,0.25,,,,,,,
Bees - Reid Vegas,Decoy,,,,,,,,,
Bees - Reid Vegas,Decoy,,,,,,,,,
OMR Sign,Decoy,,,,,,,,,
OMR Sign,OldManReidGaming,,,7,,,,,,
OMR Sign,Axeman_76,,,1,,,,,,
OMR Sign,Cowman7,,,1,,,,,,
OMR Sign,Decoy,,,,,,,,,
OMR Sign,Decoy,,,,,,,,,
OMR Casino,Decoy,,,,,,,,,
OMR Casino,OldManReidGaming,,100,,,,,,,
OMR Casino,Axeman_76,,50,,,,,,,
OMR Casino,Cowman7,,75,,,,,,,
OMR Casino,Decoy,,75,,,,,,,
OMR Casino,Decoy,,75,,,,,,,
Ass'ociated Investments Headquarters,Decoy,,,,,,,,,
Ass'ociated Investments Headquarters,OldManReidGaming,,0.75,,,,,40,,
Ass'ociated Investments Headquarters,Axeman_76,,0.75,,,,,,,
