name,territory,owner,main_builder,y_level_high_pt,y_level_ground,year_started,completed,x_coordinate,z_coordinate,historic_site,architectural_genius,mopq_award,architectural_style,size,materials,furnished
NoI-EOMR Embassy,New Reid City,NOI,Axeman_76,106,64,2020,FALSE,42,294,FALSE,FALSE,,,,,
Boner Suites,New Reid City,EOMR,OldManReidGaming,101,65,2020,TRUE,18,267,FALSE,FALSE,,OMR Brutalist,,,
Grand Isle of Knoo Embassy,New Reid City,IOK,TallerFiber1,99,65,2022,TRUE,63,315,FALSE,FALSE,,Grum Brutalist,,,
The EOMR Department of Defence and Intelligence,New Reid City,EOMR,OldManReidGaming,96,65,2023,FALSE,15,287,FALSE,FALSE,,,,,
"New Reid City Water ""Treatment"" Facilities",New Reid City,EOMR,OldManReidGaming,82,63,2022,TRUE,-9,287,FALSE,FALSE,,Specialty,,,
EOMR New Capitol,New Reid City,EOMR,OldManReidGaming,82,66,2022,TRUE,28,335,FALSE,FALSE,,Neo-UN Classical,,,
EOMR Original Capitol,New Reid City,EOMR,OldManReidGaming,77,64,2019,TRUE,60,266,FALSE,FALSE,,,,,
OMR Realty Offices,New Reid City,EOMR,OldManReidGaming,76,64,2020,TRUE,76,274,FALSE,FALSE,,OMR Brutalist,,,
The Mud & Stone Representatives Building of Quinn’s Country,New Reid City,QC,Vlueban,74,64,2022,TRUE,-5,319,FALSE,FALSE,,,,,
New Reid City Station Hub,New Reid City,UN,OldManReidGaming,72.5,64,2022,TRUE,84,324,FALSE,FALSE,,,,,
2nd Bank of OMR,New Reid City,EOMR,OldManReidGaming,72,64,2022,TRUE,67,348,FALSE,FALSE,,,,,
OMR Cathedral,New Reid City,EOMR,BingusIsSoCool,83,64,2022,FALSE,-13,341,FALSE,FALSE,,,,,
OMR Storage Center,New Reid City,EOMR,OldManReidGaming,68,64,2019,TRUE,88,302,FALSE,FALSE,,OMR Primitive,,,
Reid's House I guess,New Reid City,EOMR,OldManReidGaming,68,64,2019,TRUE,74,264,FALSE,FALSE,,OMR Primitive,,,
Privilege Checkpoint Bridge,New Reid City,EOMR,Axeman_76,,,2022,FALSE,121,330,FALSE,FALSE,,,,,
Diplomacy Dome,NOI Diplomatic Quarter,NOI,Axeman_76,132,67,2021,TRUE,-435,-9,FALSE,TRUE,Won,NOI Renaissance,,,
Bass Pro Shop,NOI Diplomatic Quarter,NOI,Axeman_76,113,63,2021,TRUE,-565,79,FALSE,TRUE,Won,Super-Projects,,,
Nelsonia Embussy,NOI Diplomatic Quarter,NEL,Cowman7,92,67,2021,TRUE,-477,-24,FALSE,FALSE,,,,,
EOMR-NOI Embassy,NOI Diplomatic Quarter,EOMR,OldManReidGaming,72,67,2021,TRUE,-514,-19,FALSE,FALSE,,,,,
QC-NOI Embassy,NOI Diplomatic Quarter,QC,Vlueban,72,67,2021,TRUE,-498,-20,FALSE,FALSE,,,,,
How Professional Aquaduct,NOI Diplomatic Quarter,NEL,Cowman7,69,63,2023,TRUE,-500,185,FALSE,FALSE,,,,,
Big Boy Castle,NOI Mainland,NOI,Axeman_76,124,65,2021,FALSE,-218,-146,TRUE,FALSE,,Super-Projects,,,
Elytra Tower,NOI Mainland,NOI,Axeman_76,108,66,2019,TRUE,-157,-58,FALSE,FALSE,,NOI Classical,,,
Small Castle,NOI Mainland,NOI,Axeman_76,87,64,2019,TRUE,-232,-51,FALSE,FALSE,,NOI Renaissance,,,
Colosseum,NOI Mainland,NOI,Axeman_76,90,72,2019,TRUE,-319,-70,TRUE,FALSE,,,,,
Isaac Original House,NOI Mainland,NOI,Axeman_76,80,64,2019,TRUE,-129,-71,TRUE,FALSE,,NOI Ancient,,,
NOI Iron Farm,NOI Mainland,NOI,Axeman_76,79,64,2019,TRUE,-277,-19,TRUE,FALSE,,Farms,,,
Isaac Barn,NOI Mainland,NOI,Axeman_76,79,64,2019,TRUE,-174,-70,FALSE,FALSE,,,,,
Original Sorting System,NOI Mainland,NOI,Axeman_76,78,64,2019,TRUE,-191,-45,TRUE,FALSE,,,,,
NoI Capitol,NOI Mainland,NOI,Axeman_76,77,64,2019,TRUE,-147,-43,TRUE,FALSE,,,,,
NOI Station,NOI Mainland,UN,Axeman_76,72,63,2019,TRUE,-181,-2,TRUE,FALSE,,,,,
Former Shop,NOI Mainland,NOI,Axeman_76,72,64,2019,TRUE,-198,-11,FALSE,FALSE,,,,,
Villager Breeder,NOI Mainland,NOI,Axeman_76,71,64,2019,TRUE,-237,-22,FALSE,FALSE,,Farms,,,
Ice Boat Station,NOI Mainland,NOI,Axeman_76,71,64,2019,TRUE,-211,-22,FALSE,FALSE,,,,,
Slime Farm,NOI Mainland,NOI,Cowman7,83,76,2020,TRUE,-129,-139,FALSE,FALSE,,,,,
Isaac Villager Compound,NOI Mainland,NOI,Axeman_76,73,70,2019,TRUE,-325,-24,TRUE,FALSE,,,,,
Far Castle,NOI Mountain Colony,NOI,Axeman_76,139,120,2022,TRUE,141,-19937,FALSE,FALSE,,,,,
Oxidome,NOI Mountain Colony,NOI,Axeman_76,140,127,2021,TRUE,-74,-19843,FALSE,FALSE,,Copper Craze,,,
Isaac Outpost,North Lake Aternos,NOI,Axeman_76,103.5,74,2019,TRUE,-20,-172,TRUE,FALSE,,NOI Classical,,,
Northern Homestead,North Lake Aternos,NOI,Axeman_76,92,78,2023,FALSE,17,-223,FALSE,FALSE,,,,,
Lulu Megavilion,North Lululand,BEL,LuluLikeThat,98,63,2024,TRUE,-1270,38,FALSE,FALSE,,,,,
Lulu Library House,North Lululand,BEL,LuluLikeThat,105,85,2024,TRUE,-1247,64,FALSE,FALSE,,,,,
Lulu Storage,North Lululand,BEL,LuluLikeThat,94,83,2024,TRUE,-1234,90,FALSE,FALSE,,,,,
Lulu Nether Portal,North Lululand,BEL,LuluLikeThat,83.5,72,2024,TRUE,-1245,89,FALSE,FALSE,,,,,
Grand Fountain,North Lululand,BEL,LuluLikeThat,125,111,2024,TRUE,-1168,91,FALSE,FALSE,,,,,
Quite the Large Arch,North Lululand,BEL,LuluLikeThat,149,112,2024,TRUE,-1208,4,FALSE,FALSE,,,,,
Llulu Aquarium,North Lululand,BEL,LuluLikeThat,107.1875,98,2024,TRUE,-1228,72,FALSE,FALSE,,,,,
Lulu Stables,North Lululand,BEL,LuluLikeThat,97.5,88,2024,TRUE,-1318,-11,FALSE,FALSE,,,,,
Lulu Templehouse,North Lululand,BEL,LuluLikeThat,113,103,2024,TRUE,-1249,39,FALSE,FALSE,,,,,
Lulu Highhouse,North Lululand,BEL,LuluLikeThat,121,103,2024,TRUE,-1253,17,FALSE,FALSE,,,,,
Cherryggrisil,North Lululand,BEL,LuluLikeThat,128,111,2024,TRUE,-1213,53,FALSE,FALSE,,,,,
Lulu Greenhouse,North Lululand,BEL,LuluLikeThat,124,111,2024,TRUE,-1203,104,FALSE,FALSE,,,,,
Bees - Reid Vegas,North Reid Vegas,EOMR,OldManReidGaming,77,72,2021,TRUE,511,555,FALSE,FALSE,,,,,
Farmhouse - Bad,North Reid Vegas,EOMR,OldManReidGaming,72,67,2020,TRUE,466,481,FALSE,FALSE,,,,,
Farmhouse - Good,North Reid Vegas,EOMR,Vlueban,71,67,2021,TRUE,481,484,FALSE,FALSE,,,,,
Pene Tower - North,Northmost Lake Aternos,EOMR,OldManReidGaming,82.5,65,2021,TRUE,112,-254,FALSE,FALSE,,,,,
Far North Farm,Northmost Lake Aternos,EOMR,TheArmchair,80,63,2021,TRUE,81,-255,FALSE,FALSE,,Farms,,,
Far North Hotel,Northmost Lake Aternos,EOMR,TheArmchair,79,70,2021,TRUE,100,-272,FALSE,FALSE,,,,,
AJ's House,Northmost Lake Aternos,NEL,ShadowBoogie15,72,67,2021,TRUE,160,-276,FALSE,FALSE,,,,,
Ali's Up Nort Der Ay,Northmost Lake Aternos,EOMR,TheArmchair,69,64,2021,TRUE,115,-238,FALSE,FALSE,,,,,
Ali's Hot Tub,Northmost Lake Aternos,EOMR,TheArmchair,71,70,2021,TRUE,113,-276,FALSE,FALSE,Nominated,,,,
Far West Canal,Northwest Pathlands,NOI,Axeman_76,65,63,2024,TRUE,-1092,-217,FALSE,FALSE,,,,,
Far Western Small Home,Northwest Pathlands,NOI,Axeman_76,73.5,67,2024,TRUE,-1109,-190,FALSE,FALSE,,,,,
2025 Well,Northwest Pathlands,NOI,Axeman_76,73.5,67,2025,TRUE,-1099,-199,FALSE,FALSE,Eligible,,,,
Yer Storage,Old Belize,EOMR,YerLoss,75,68,2022,TRUE,8,697,FALSE,FALSE,,,,,
Floating Area,Old Belize,EOMR,YerLoss,89,84,2021,TRUE,98,713,FALSE,FALSE,,,,,
Yer Beacon Building,Old Belize,EOMR,YerLoss,73,68,2022,FALSE,-8,773,FALSE,FALSE,,,,,
Yer's Slave Quarters,Old Belize,EOMR,YerLoss,74,70,2021,TRUE,158,768,FALSE,FALSE,,,,,
Rat Hole,Old Belize,EOMR,YerLoss,70,69,2021,TRUE,98,712,FALSE,FALSE,,,,,
The Z Warehouse,Old Belize,EOMR,HAZ6R,84,74,2024,FALSE,34,637,FALSE,FALSE,,,,,
Old Belize Station Hub,Old Belize,UN,Axeman_76,78,72,2024,TRUE,24,603,FALSE,FALSE,,,,,
OMR P Diddy Mansion,Old Man Meadow,EOMR,OldManReidGaming,,,2024,FALSE,751,551,FALSE,FALSE,,,,,
Old Man Meadows Lava Tower,Old Man Meadow,EOMR,OldManReidGaming,99,63,2024,FALSE,723,642,FALSE,FALSE,,,,,
Snowman Puddle Lamp,Old Man Meadow,EOMR,OldManReidGaming,71,64,2024,TRUE,701,638,FALSE,FALSE,,,,,
NOI Copper Bridge,OMR Mountain Colony,NOI,"Axeman_76, Cowman7",172,111,2021,TRUE,78,-19718,TRUE,FALSE,,Copper Craze,,,
Play Castle,OMR Mountain Colony,EOMR,OldManReidGaming,144,136,2021,TRUE,189,-19716,FALSE,FALSE,,,,,
Bee Igloo Glue Factory,OMR Mountain Colony,EOMR,OldManReidGaming,141,136,2022,TRUE,214,-19722,FALSE,FALSE,,,,,
Hockey Rink,OMR Mountain Colony,EOMR,OldManReidGaming,143,138,2022,TRUE,317,-19561,FALSE,FALSE,,,,,
Quinn's House,Quinn Mainland,QC,Vlueban,73,64,2019,TRUE,-197,41,FALSE,FALSE,,,,,
Quinn's Capitol/Welcome Center,Quinn Mainland,QC,Vlueban,70,64,2019,TRUE,-182,14,FALSE,FALSE,,,,,
Quinn's Shed,Quinn Mainland,QC,Vlueban,70,65,2019,TRUE,-207,10,FALSE,FALSE,,,,,
Quinn's RR Stop: Quick Transport to Crippal (Sorry Quinn),Quinn Mainland,UN,Yahtta,68,66,2019,TRUE,-189,59,TRUE,FALSE,,,,,
Quinn Funny House,Quinn Mountain Colony,QC,Vlueban,150,117,2022,TRUE,-400,-19467,FALSE,FALSE,,,,,
2nd Bank of OMR Field,Reid Plains,EOMR,OldManReidGaming,137,63,2020,TRUE,296,372,FALSE,FALSE,,Super-Projects,,,
Jesus' Compound,Reid Plains,EOMR,"pretzel_captcha, Axeman_76, Cowman7",98,76,2021,FALSE,176,416,FALSE,FALSE,,,,,
Airmchair Ali Construction HQ,Reid Plains,EOMR,TheArmchair,88.5,71,2022,FALSE,272,449,FALSE,FALSE,,,,,
Laborer's International Union of EOMR,Reid Plains,EOMR,OldManReidGaming,87,71,2020,FALSE,286,463,FALSE,FALSE,,Crafting Table,,,
Ghoul's Secret Base,Reid Plains,EOMR,Fr0zenGh0ul,84.5,70,2021,TRUE,279,510,FALSE,FALSE,,,,,
Reid Plains City Hall,Reid Plains,EOMR,OldManReidGaming,82,68,2022,TRUE,334,466,FALSE,FALSE,,Neo-UN Classical,,,
Blackstone Baseball Building (BBB),Reid Plains,NOI,Axeman_76,82,73,2020,TRUE,223,398,FALSE,FALSE,,,,,
Thumbtack,Reid Plains,EOMR,OldManReidGaming,71.5,63,2020,TRUE,221,342,FALSE,FALSE,,Statues,,,
Kchanistan,Reid Plains,EOMR,Udlickthat,77,69,2022,FALSE,309,443,FALSE,FALSE,,,,,
Ali's New House,Reid Plains,EOMR,TheArmchair,80,72,2021,TRUE,235,492,FALSE,FALSE,,,,,
OMR Villager Compound,Reid Plains,EOMR,OldManReidGaming,76,68,2020,TRUE,182,345,FALSE,FALSE,,,,,
Will's New New House,Reid Plains,EOMR,TheArmchair,70.5,63,2022,TRUE,196,369,FALSE,FALSE,,,,,
Ghoul's House,Reid Plains,EOMR,Fr0zenGh0ul,79,72,2020,TRUE,235,465,FALSE,FALSE,,,,,
Baseball Field Station Hub,Reid Plains,UN,Axeman_76,78,71,2022,TRUE,264,431,FALSE,FALSE,,,,,
Ali's Old House,Reid Plains,EOMR,TheArmchair,70,67,2021,TRUE,194,447,FALSE,FALSE,,,,,
Vacation Hut,Reid Plains,UN,OldManReidGaming,76,73,2020,TRUE,232,398,FALSE,FALSE,,,,,
Watering Hole House,Reid Plains,EOMR,WTFNash,72.5,72,2022,FALSE,231,415,FALSE,FALSE,,,,,
Ass'ociated Investments Headquarters,Reid Vegas,EOMR,"Axeman_76, OldManReidGaming",123,69,2021,FALSE,450,601,FALSE,FALSE,Nominated,,,,
OMR Casino,Reid Vegas,EOMR,OldManReidGaming,87,69,2020,FALSE,426,559,FALSE,FALSE,,,,,
Chess Arena,Reid Vegas,EOMR,OldManReidGaming,75,71,2020,TRUE,412,600,FALSE,FALSE,,,,,
Ungle's Tip: The Reid Vegas Gentleman Club,Reid Vegas,EOMR,OldManReidGaming,76,60,2023,FALSE,377,636,FALSE,FALSE,,,,,
North Western Mutual Park Dorms,Reid Vegas,EOMR,OldManReidGaming,86,69,2023,TRUE,343,676,FALSE,FALSE,,,,,
Fort Ali,Reidwaukee Point,EOMR,TheArmchair,77,68,2022,FALSE,224,562,FALSE,FALSE,,,,,
OMR Sign,Reidwaukee Point,EOMR,OldManReidGaming,78,70,2021,TRUE,366,550,FALSE,FALSE,,Statues,,,
Place That Will Owns,Reidwaukee Point,EOMR,WJPGaming,76,67,2023,TRUE,244,653,FALSE,FALSE,,OMR Brutalist,,,
The Joys of Serfdom,Saint Burgergrad,EOMR,Triton1037,75,71,2024,TRUE,750,263,FALSE,FALSE,,,,,
Saint Burgergrad Fishing Hut,Saint Burgergrad,EOMR,,69,63,2024,TRUE,776,292,FALSE,FALSE,,,,,
Improved Serfdom Living Quarters,Saint Burgergrad,EOMR,,75.5,70,2024,TRUE,761,263,FALSE,FALSE,,,,,
Milkmaxx 9 000 000,Saint Burgergrad,EOMR,Hirodrippo,74,70,2024,TRUE,738,269,FALSE,FALSE,,,,,
Incinetor,Saint Burgergrad,EOMR,Hirodrippo,71,70,2024,FALSE,756,315,FALSE,FALSE,,,,,
Saint Burgergrad Capital Building,Saint Burgergrad,EOMR,Triton1037,,,2024,TRUE,748,238,FALSE,FALSE,,,,,
Saint Burgergrad Nether Portal,Saint Burgergrad,EOMR,,69,64,2024,TRUE,756,284,FALSE,FALSE,,,,,
The New Belize Slums,Sand Duned Slums,BEL,,,,2024,FALSE,-724,506,FALSE,FALSE,,,,,
New Belize Sand Land,Sand Duned Slums,BEL,,89.5,63,2024,TRUE,-822,493,FALSE,FALSE,,,,,
Statue of Tyranny,Server Sea,EOMR,OldManReidGaming,105,63,2024,TRUE,-140,710,FALSE,FALSE,,Statues,,,
Arctic Frog Ranch,Server Sea,NEL,Cowman7,66,63,2024,TRUE,-381,820,FALSE,FALSE,,,,,
Soup City Smelting Company,Soup City,EOMR,OldManReidGaming,70,63,2024,TRUE,748,793,FALSE,FALSE,,,,,
Soup Building #1,Soup City,EOMR,ICQO,,,2024,FALSE,774,773,FALSE,FALSE,,,,,
Soup Building #2,Soup City,EOMR,ICQO,75,64,2024,TRUE,800,778,FALSE,FALSE,,,,,
Soup City Nether Portal,Soup City,EOMR,ICQO,71,64,2024,TRUE,790,774,FALSE,FALSE,,,,,
Pool/Baby Zombie Jockey Encloser,Soup City,EOMR,ICQO,67,64,2024,TRUE,788,791,FALSE,FALSE,,,,,
The Lookout,South Confluence,QC,Vlueban,97,69,2022,TRUE,-601,271,FALSE,FALSE,,,,,
Blackstone Castle,South How Water River,QC,Vlueban,112,81,2021,TRUE,-238,200,FALSE,FALSE,Nominated,,,,
Papo Welfare House,South How Water River,QC,Vlueban,95,82,2021,TRUE,-319,253,FALSE,FALSE,,,,,
Bitch Village,South How Water River,QC,Vlueban,73,64,2020,TRUE,-317,188,FALSE,FALSE,,,,,
Base Tavern,South How Water River,QC,Vlueban,71,63,2022,TRUE,-429,262,FALSE,FALSE,,,,,
Pancake House,South How Water River,QC,Vlueban,89,84,2020,TRUE,-386,241,FALSE,FALSE,,,,,
Warped Village,South How Water River,QC,Vlueban,68,63,2020,TRUE,-399,189,FALSE,FALSE,,,,,
The Dark Wizard Tower,South How Water River,NEL,Cowman7,74,66,2023,FALSE,-364,213,FALSE,FALSE,,Ungle Modernist,,,
Cherry Building,South How Water River,QC,Vlueban,80,63,2023,TRUE,-263,227,FALSE,FALSE,,,,,
Other Tower - Cool Looking One,South Lake Aternos,NOI,Axeman_76,143.5,65,2020,TRUE,-154,237,TRUE,TRUE,Won,NOI Medieval,,,
NoI I Tower,South Lake Aternos,NOI,Axeman_76,121,63,2019,TRUE,-131,72,TRUE,FALSE,,NOI Classical,,,
I Dome,South Lake Aternos,NOI,Axeman_76,102,63,2019,TRUE,-149,131,TRUE,FALSE,,NOI Classical,,,
Garrett,South Lake Aternos,NOI,Axeman_76,89,64,2020,TRUE,-129,167,TRUE,FALSE,,,,,
Railroad HQ,South Lake Aternos,UN,Cowman7,78.5,63,2019,TRUE,-93,69,TRUE,FALSE,,,,,
Green Fog Ring Building,South Lake Aternos,NOI,Axeman_76,78,63,2020,TRUE,-101,195,TRUE,FALSE,,,,,
Lulu Bridgebuilding,South Lululand,BEL,LuluLikeThat,101.5,86,2024,TRUE,-1273,168,FALSE,FALSE,,,,,
Factory,Southmost Lake Aternos,NOI,Axeman_76,90.5,63,2021,FALSE,-151,292,FALSE,FALSE,,Copper Craze,,,
Southmost Opium Farm,Southmost Lake Aternos,EOMR,OldManReidGaming,71,63,2022,TRUE,-212,249,FALSE,FALSE,,,,,
Big Sandy Temple,Templeton Sands,BEL,YerLoss,97,63,2024,TRUE,-1008,485,FALSE,FALSE,,,,,
Enderman Farm,The End,UN,Cowman7,52,2,2020,TRUE,265,2,FALSE,FALSE,,Farms,,,
Gold Farm,The Nether,NEL,Cowman7,256,189,2021,TRUE,-417,-8,FALSE,FALSE,,Farms,,,
Nether Hub,The Nether,UN,Axeman_76,128,82,2020,TRUE,-21,-5,FALSE,FALSE,,,,,
Nether Skeleton Farm,The Nether,NEL,Cowman7,73,43,2021,TRUE,184,-87,FALSE,FALSE,,Farms,,,
Blaze Farm,The Nether,NEL,Cowman7,80,66,2021,TRUE,184,-46,FALSE,FALSE,,Farms,,,
Froglight Farm,The Nether,NEL,Cowman7,148,128,2024,TRUE,-81,375,FALSE,FALSE,,Farms,,,
Froglight Farm AFK Platform,The Nether,NEL,Cowman7,256,252,2024,TRUE,-81,375,FALSE,FALSE,,,,,
Cavern Tavern,Threesome Highlands,QC,Vlueban,94,79,2023,FALSE,-809,-11,FALSE,FALSE,,,,,
Bottom Cavern Thing,Threesome Highlands,QC,Vlueban,75,63,2023,FALSE,-804,13,FALSE,FALSE,,,,,
Firewatch Tower #1,Threesome Highlands,NOI,Axeman_76,,,2024,FALSE,-790,-88,FALSE,FALSE,,,,,
Papo Hobbit Hole,Threesome Highlands,QC,Vlueban,76,71,2024,TRUE,-770,15,FALSE,FALSE,,,,,
Count Nate's Vampire Castle,Transylvania,CDS,MCMasterNathan,178,80,2024,TRUE,290,-264,FALSE,FALSE,,,,,
UN Dome,UN Mountain Colony,UN,Cowman7,136,125,2021,FALSE,-88,-19925,FALSE,FALSE,,United Nations Classical,,,
UN Resort,UN Resort,UN,"Cowman7, Axeman_76",90,64,2020,TRUE,366,241,FALSE,FALSE,,United Nations Classical,,,
Zombie Observation Spawner,UN Resort,UN,Cowman7,78,65,2021,TRUE,404,200,FALSE,FALSE,,,,,
UN Resort Pool,UN Resort,UN,Cowman7,73.0625,63,2020,TRUE,365,201,FALSE,FALSE,,,,,
UN Resort Hotel,UN Resort,UN,"Cowman7, Axeman_76",77,65,2021,FALSE,417,241,FALSE,FALSE,,,,,
UN Nether Portal,UN Resort,UN,Cowman7,78.5,71,2020,TRUE,366,302,FALSE,FALSE,,,,,
Esophagus Mausoleum,UN Resort,EOMR,OldManReidGaming,69,64,2020,TRUE,198,221,FALSE,FALSE,,OMR Primitive,,,
UN Resort Station,UN Resort,UN,OldManReidGaming,70,65,2020,TRUE,358,285,FALSE,FALSE,,,,,
Zombie Spawner w/ Observation,UN Resort,UN,Cowman7,69,65,2021,TRUE,329,254,FALSE,FALSE,,,,,
United Nations International Refugee Camp,United Nations International Refugee Camp,UN,Axeman_76,,,2024,FALSE,-1401,-291,FALSE,FALSE,,,,,
Very Near Cliffside Cabin,Very Near Colony,NOI,Axeman_76,79.5,72,2024,TRUE,-1147,810,FALSE,FALSE,,,,,
-1100 RR Stop,West Exaroton Coasts,UN,Yahtta,82,78,2020,TRUE,-1138,456,FALSE,FALSE,,,,,
WIP Coastline Castle,West Exaroton Coasts,NOI,Axeman_76,,,2024,FALSE,-1131,506,FALSE,FALSE,,,,,
West NRC Netherack Suicide Tower,West New Reid City,EOMR,OldManReidGaming,97,64,2020,TRUE,-89,246,FALSE,FALSE,,3rd-World Eyesores,,,
Presidential Palace of the Confederacy of EOMR,West New Reid City,EOMR,OldManReidGaming,75,64,2022,TRUE,-59,291,FALSE,FALSE,,OMR Modernist,,,
East OMR Crack House,West New Reid City,EOMR,OldManReidGaming,73,64,2022,TRUE,-62,273,FALSE,FALSE,,,,,
TheArmchair Diplomats' Quarters,West New Reid City,EOMR,TheArmchair,68,63,2022,TRUE,-68,331,FALSE,FALSE,,,,,
West New Reid City Phlaure Guardn,West New Reid City,EOMR,OldManReidGaming,66,63,2023,TRUE,-58,305,FALSE,FALSE,,,,,
West New Reid City Station,West New Reid City,UN,Axeman_76,68,63,2023,FALSE,-53,325,FALSE,FALSE,,,,,
West Brick Building,West NOI,NOI,Axeman_76,76,67,2023,FALSE,-722,76,FALSE,FALSE,,,,,
Confluence Light House,West NOI,NOI,Axeman_76,117.5,73,2023,FALSE,-693,170,FALSE,FALSE,,,,,
West Wester Assman Canal,West NOI,NOI,Axeman_76,65,63,2023,TRUE,-635,-50,FALSE,FALSE,,,,,
Wester Fjord Canal,West NOI,NOI,Axeman_76,65,63,2023,TRUE,-733,19,FALSE,FALSE,,,,,
Historic OMRC Pene Tower,West OMR,UN,OldManReidGaming,109,66,2019,TRUE,-166,61,TRUE,FALSE,,,,,
NOI International Museum of History,West OMR,NOI,Axeman_76,90,63,2020,TRUE,-32,6,TRUE,FALSE,,Neo-UN Classical,,,
Antichrist,West OMR,NOI,Danav215,157,132,2019,TRUE,-61,1,TRUE,FALSE,,Statues,,,
UN Building,West OMR,UN,"Cowman7, Axeman_76",94,63,2019,TRUE,-152,36,TRUE,FALSE,,United Nations Classical,,,
"Realty Building - ""Rental Shit""",West OMR,UN,OldManReidGaming,79,63,2020,TRUE,-121,12,FALSE,FALSE,,,,,
Medal of Papa Quinn Building,West OMR,UN,"Cowman7, OldManReidGaming",76.5,63,2020,TRUE,-80,21,FALSE,FALSE,,,,,
Historic OMRC Capitol,West OMR,UN,OldManReidGaming,72,63,2019,TRUE,-120,28,TRUE,FALSE,,,,,
Islander Station,West OMR,UN,OldManReidGaming,71,63,2019,TRUE,-57,-4,TRUE,FALSE,,,,,
NoI Shopping Center,West OMR,UN,Axeman_76,69,63,2020,TRUE,-104,1,FALSE,FALSE,,,,,
Historic OMRC No Man's Land Wall,West OMR,UN,OldManReidGaming,67,63,2019,TRUE,-92,-19,TRUE,FALSE,,,,,
Axeman Farms,West Server Sea,NOI,Axeman_76,73.5,67,2022,FALSE,-500,674,FALSE,FALSE,,Farms,,,
Water Base,Wild West,NEL,Cowman7,203,111,2023,FALSE,-889,56,FALSE,FALSE,,Ungle Modernist,,,
